,site_ID,plot,horizon,top_depth.cm,bottom_depth.cm,thickness.cm,,,,,,,,,,,,,,,
247,DSNY,5,Bh1,30.0,35.0,5.0,,,,,,,,,,,,,,,
248,DSNY,5,Bh2,35.0,53.0,18.0,,,,,,,,,,,,,,,
249,DSNY,5,E',53.0,141.0,88.0,,,,,,,,,,,,,,,
250,DSNY,5,B'h,141.0,152.0,11.0,,,,,,,,,,,,,,,
251,GRSM,1,A,0.0,14.0,14.0,,,,,,,,,,,,,,,
252,GRSM,1,AB,14.0,22.0,8.0,,,,,,,,,,,,,,,
253,GRSM,1,Bw1,22.0,35.0,13.0,,,,,,,,,,,,,,,
254,GRSM,1,Bw2,35.0,64.0,29.0,,,,,,,,,,,,,,,
255,GRSM,1,Bt,64.0,103.0,39.0,,,,,,,,,,,,,,,
256,GRSM,2,A,0.0,25.0,25.0,,,,,,,,,,,,,,,
257,GRSM,2,Bt,25.0,42.0,17.0,,,,,,,,,,,,,,,
258,GRSM,3,A,0.0,18.5,18.5,,,,,,,,,,,,,,,
259,GRSM,3,AB,18.5,31.0,12.5,,,,,,,,,,,,,,,
260,GRSM,3,Bt1,31.0,56.0,25.0,,,,,,,,,,,,,,,
261,GRSM,3,Bt2,56.0,89.0,33.0,,,,,,,,,,,,,,,
262,GRSM,4,A,0.0,25.0,25.0,,,,,,,,,,,,,,,
263,GRSM,4,Bt,25.0,70.0,45.0,,,,,,,,,,,,,,,
264,GRSM,4,C,70.0,112.0,42.0,,,,,,,,,,,,,,,
265,HARV,1,OA,0.0,6.0,6.0,,,,,,,,,,,,,,,
266,HARV,1,AB,6.0,16.0,10.0,,,,,,,,,,,,,,,
267,HARV,1,Bw1,16.0,50.0,34.0,,,,,,,,,,,,,,,
268,HARV,1,Bw2,50.0,56.0,6.0,,,,,,,,,,,,,,,
269,HARV,2,OA,0.0,6.0,6.0,,,,,,,,,,,,,,,
270,HARV,2,Bw1,6.0,22.5,16.5,,,,,,,,,,,,,,,
271,HARV,2,Bw2,22.5,34.0,11.5,,,,,,,,,,,,,,,
272,HARV,2,2BC,34.0,75.0,41.0,,,,,,,,,,,,,,,
273,HARV,3,OA,0.0,8.0,8.0,,,,,,,,,,,,,,,
274,HARV,3,Bw1,8.0,27.0,19.0,,,,,,,,,,,,,,,
275,HARV,3,Bw2,27.0,34.0,7.0,,,,,,,,,,,,,,,
276,HARV,3,Bw3,34.0,62.0,28.0,,,,,,,,,,,,,,,
